id,url,channelName,channelUrl,categoryId,categoryName,title,description,thumbnailUrl,tags,durationString,durationSeconds,viewsCount,likesCount,dislikesCount,favouritesCount,commentsCount,engagementsCount,engagementRate,video_id
XYfG3y__Nk4,https://www.youtube.com/watch?v=XYfG3y__Nk4,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,25,News & Politics,Connected Fintech: Where's Wally getting support from Fintech Hive?,"Episode one: In the first of a series of short films that explain HSBC’s role at the heart of the fintech ecosystem, we meet Saeid and Sami Hejazi, founders of Wally, who explain how HSBC and the DIFC Fintech Hive are helping shape the future of finance. | We find out what motivates them and how they could change finance for the better.  | ‘Connected Fintech’ is an interview series hosted by HSBC’s Head of Innovation in the Middle East, North Africa and Turkey, Pam Attebery. |  | Check out the Connected Fintech playlist here: http://grp.hsbc/ConnectedFintech |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us. |   | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC #ConnectedFintech #entrepreneurs",https://i.ytimg.com/vi/XYfG3y__Nk4/maxresdefault.jpg,"fintech ecosystem,fintech,entrepreneurs,personal finance,future of finance,hsbc,hsbc series,DIFC Fintech Hive,Fintech Hive Accelerator,interview series,hsbc interview series,wally",00:05:43,343,402,1,0,0,1,2,0.004975124,150
S5XsfgPkZBE,https://www.youtube.com/watch?v=S5XsfgPkZBE,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,28,Science & Technology,HSBC Sport | Meet the women changing the game for golf,"An outstanding generation of female golfers are making their voice heard on and off the course. We spoke to Georgia Hall, Mel Reid, Minjee Lee and Patty Tavatanakit to hear from them how far the sport has come, where it's going, and how their impact goes far beyond the course.  |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC",https://i.ytimg.com/vi/S5XsfgPkZBE/maxresdefault.jpg,"hsbc,hsbc global",00:05:37,337,214994,0,0,0,0,0,0.0,153
jrC9GXqTolM,https://www.youtube.com/watch?v=jrC9GXqTolM,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,25,News & Politics,The fintech making supply chains more secure and suppliers more accountable,"Episode three: In this Connected Fintech episode, Pam learns more about how Monimove is helping businesses track payments throughout their supply chain. | ‘Connected Fintech’ is an interview series hosted by HSBC’s Head of Innovation in the Middle East, North Africa and Turkey, Pam Attebery. | Pam sits down with the entrepreneurs who participated in the most recent Fintech Hive Accelerator programme in Dubai. |  | Check out the Connected Fintech playlist here: http://grp.hsbc/ConnectedFintech |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us. |   | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC #ConnectedFintech #entrepreneurs",https://i.ytimg.com/vi/jrC9GXqTolM/maxresdefault.jpg,"fintech ecosystem,fintech,entrepreneurs,personal finance,future of finance,hsbc,hsbc series,DIFC Fintech Hive,Fintech Hive Accelerator,interview series,hsbc interview series,supply chains,tracking payments,Monimove",00:05:17,317,1263,8,0,0,1,9,0.007125891,156
5TgNPE133xw,https://www.youtube.com/watch?v=5TgNPE133xw,Schroders,https://www.youtube.com/channel/UCPGDAxQL05T8C29a621ySbw,25,News & Politics,Andrew Howard - Introducing SustainEx,"In our extended video, Head of Sustainable Research Andrew Howard introduces SustainEx, our ground-breaking new tool measuring the costs companies would face if all of their negative externalities were priced or the boost if benefits were recognised financially. |  | To find out more on SustainEx, follow this link: https://www.schroders.com/en/insights/economics/sustainex-quantifying-the-hidden-costs-of-companies/",https://i.ytimg.com/vi/5TgNPE133xw/maxresdefault.jpg,,00:05:04,304,500,2,1,0,0,3,0.006,159
0C8S3rk1uxg,https://www.youtube.com/watch?v=0C8S3rk1uxg,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,25,News & Politics,The fintech hoping to make a giant leap with automated business onboarding,"Episode four: In this Connected Fintech, Pam meets Samir Rajpukar whose company wants to help corporates open bank accounts in just one day. | ‘Connected Fintech’ is an interview series hosted by HSBC’s Head of Innovation in the Middle East, North Africa and Turkey, Pam Attebery. | Pam sits down with the entrepreneurs who participated in the most recent Fintech Hive Accelerator programme in Dubai. |  | Check out the Connected Fintech playlist here: http://grp.hsbc/ConnectedFintech |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us. |   | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC #ConnectedFintech #entrepreneurs",https://i.ytimg.com/vi/0C8S3rk1uxg/maxresdefault.jpg,"fintech,fintech ecosystem,entrepreneurs,personal finance,future of finance,hsbc,hsbc series,DIFC Fintech Hive,Fintech Hive Accelerator,interview series,new customers,onboarding,entrepreneur,entrepreneurship,Samir Rajpukar,Leap fintech",00:04:58,298,619,5,0,0,3,8,0.012924071,161
clFT6Xw0rq0,https://www.youtube.com/watch?v=clFT6Xw0rq0,Nomura,https://www.youtube.com/channel/UC34CVg2p8fZ-gYySyRgJsSg,19,Travel & Events,Highlights from Nomura Investment Forum Asia 2018,"We held our 15th annual Nomura Investment Forum Asia (NIFA) from June 4 to 7, 2018, connecting close to 1,000 global investors with almost 150 major companies in Asia including Japan and prominent thought leaders. Hear from some of our key speakers in this video with highlights from the conference.",https://i.ytimg.com/vi/clFT6Xw0rq0/default.jpg,"NIFA,Singapore,global markets,investment banking,research",00:04:31,271,1087,0,0,0,0,0,0.0,176
Wn5wonSP6uI,https://www.youtube.com/watch?v=Wn5wonSP6uI,Nomura,https://www.youtube.com/channel/UC34CVg2p8fZ-gYySyRgJsSg,22,People & Blogs,Preparing for the next surge in food prices,"After surging in 2010-11, global food prices have been on a downtrend, but this can quickly change. Structural drivers of food demand – rising EM populations and income growth coupled with an increasing appetite for more protein – remain strong.",https://i.ytimg.com/vi/Wn5wonSP6uI/maxresdefault.jpg,"research,food,asia,investment banking,finance,food prices",00:04:17,257,267,0,0,0,0,0,0.0,180
aMA_L_dXuRs,https://www.youtube.com/watch?v=aMA_L_dXuRs,Fidelity Investments,https://www.youtube.com/channel/UCwp9GbPASoPs6BIxVWm_-2A,26,Howto & Style,Second Quarter 2020 Quarterly Market Update with Dirk Hofschire | Fidelity,"Fidelity’s Asset Allocation Research Team shares with you a few insights on the latest market developments and reviews the first quarter of 2020 in the markets, as well as a look ahead. | __________________________________________________________________ | To see more videos from Fidelity Investments, subscribe to: https://www.youtube.com/fidelityinvestments  | Facebook: https://www.facebook.com/fidelityinvestments  | Twitter:  https://www.twitter.com/fidelity  | LinkedIn: https://www.linkedin.com/company/fidelity-investments  |  | Fidelity Brokerage Services LLC, Member NYSE, SIPC, 900 Salem Street, Smithfield, Rhode Island, 02917 |  | 903614.3.0",https://i.ytimg.com/vi/aMA_L_dXuRs/maxresdefault.jpg,,00:04:11,251,3493,35,5,0,0,40,0.011451474,181
NLMJql1tSJw,https://www.youtube.com/watch?v=NLMJql1tSJw,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,27,Education,Sounds of Home 2020 | India,"Immerse yourself in a virtual trip back to India with the Sounds of India. Hear the buzz of a daily vegetable market, the drama of a local cricket match, calming sea waves at sunset, and much more. Explore other places around the world with the full playlist or listen to the soundscapes across all major music streaming channels. |  | Listen to the Sounds of Home 2020 playlist: http://grp.hsbc/SoundsOfHome2020 | Check out other Sounds of Home videos: http://grp.hsbc/SoundsOfHome    |  | #HSBC #SoundsOfHome #TogetherWeThrive #SoundDesign #Soundscape |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC",https://i.ytimg.com/vi/NLMJql1tSJw/maxresdefault.jpg,"hsbc,hsbc global,Together We Thrive,Sound Design,Soundscape,Sounds of Home,Sounds of Home 2020,sounds of home india",00:04:08,248,2836,0,0,0,0,0,0.0,182
H-dftHHxuUY,https://www.youtube.com/watch?v=H-dftHHxuUY,Aberdeen Standard Investments,https://www.youtube.com/channel/UCRzkBhJvxmxpNh8Up7tZDNw,24,Entertainment,Covid Safety Protocols - Aberdeen Standard Investments Ladies Scottish Open.,Beth Allen takes us on a tour of some of the necessary safety protocols in place at the 2020 Aberdeen Standard Investments Ladies Scottish Open.,https://i.ytimg.com/vi/H-dftHHxuUY/default.jpg,,00:04:02,242,503,3,9,0,0,12,0.0238568589999999,183
PESufOQXpCY,https://www.youtube.com/watch?v=PESufOQXpCY,Natixis Investment Managers,https://www.youtube.com/channel/UCG4lu3D0JCllf7cSICB27MA,27,Education,Roaring 20s or Economic Slowdown Ahead?,"As the reopening of the US economy continues, Vaughan Nelson’s Chris Wallis looks at sustainability of economic and equity market growth: https://www.im.natixis.com/intl/markets/roaring-20s-or-economic-slowdown?utm_content=1621924202&utm_medium=youtube&utm_source=Natixis+Investment+Managers",https://i.ytimg.com/vi/PESufOQXpCY/default.jpg,"Equities,Macroeconomics,Market Outlook",00:03:57,237,11,0,0,0,0,0,0.0,185
7rQYL07Dw0k,https://www.youtube.com/watch?v=7rQYL07Dw0k,BNP Paribas Asset Management,https://www.youtube.com/channel/UC8WeyDQAPMcYYwM2vE0O0pw,25,News & Politics,Asset Allocation Update – July 2019 (EN),"Each month, the strategy team within our Multi-Asset, Quantitative and Solutions (MAQS) team reviews the latest major events in global markets and discuss the implications on asset allocation.",https://i.ytimg.com/vi/7rQYL07Dw0k/maxresdefault.jpg,"bnp,bnp paribas ip,bnp paribas investment partners,bnpp ip,bnp paribas asset management,investment partners,stratégie d'investissement,gestion d'actifs,solutions d'investissement,marchés,markets,fonds,funds,investment funds,investment products,fonds d'investissement,investissement,investir,banque,asset management,asset allocation",00:03:44,224,77,0,0,0,0,0,0.0,187
myrDq1Q6XWg,https://www.youtube.com/watch?v=myrDq1Q6XWg,Nomura,https://www.youtube.com/channel/UC34CVg2p8fZ-gYySyRgJsSg,22,People & Blogs,Unconventional monetary policy: Who’s next?,"A decade on from the Great Recession, UMP is becoming more conventional. Our analysis shows that the central banks most likely to move next to UMP are those in  Israel, US, Thailand, UK, South Korea and Australia.",https://i.ytimg.com/vi/myrDq1Q6XWg/maxresdefault.jpg,"nomura,research,investment banking,global markets,recession,monetary policy,finance,US,South Korea,Australia",00:03:40,220,246,0,0,0,0,0,0.0,189
hzwyv8tOj74,https://www.youtube.com/watch?v=hzwyv8tOj74,HSBC,https://www.youtube.com/channel/UCTbuSzdKMgyVRjlr1EWE-gg,27,Education,Tommy Fleetwood meets the Future Falcons,"During Abu Dhabi HSBC 2021 Championship, previous double winner of the tournament Tommy Fleetwood took time out his busy schedule to meet the future. |  | Our HSBC Future Falcons questions ranged from how he copes after a bad day at the range to what his favourite food is, through to key tips to improve their game as they progress in golf.  |  | #HSBCSport #ADGolfChamps #RolexSeries |  |  | Subscribe to our YouTube channel: http://grp.hsbc/subscribe   |  | HSBC is one of the largest banking and financial services organisation in the world, proudly serving more than 40 million customers. On this channel, we're sharing information about our brand and values, our sponsorships and technology stories, and what it's like to work for us.  |  | Connect with us to get our latest updates:  | Visit our website: https://www.hsbc.com/  | Follow us on LinkedIn: https://www.linkedin.com/company/hsbc | Like us on Facebook: https://www.facebook.com/hsbc | Follow us on Twitter: https://twitter.com/HSBC | Follow us on Instagram: https://www.instagram.com/hsbc |  | #HSBC",https://i.ytimg.com/vi/hzwyv8tOj74/maxresdefault.jpg,"hsbc,hsbc global",00:03:40,220,764,0,0,0,0,0,0.0,190
HV0PC3sxyqU,https://www.youtube.com/watch?v=HV0PC3sxyqU,Fidelity Investments,https://www.youtube.com/channel/UCwp9GbPASoPs6BIxVWm_-2A,26,Howto & Style,Third Quarter 2020 Quarterly Sector Update with Denise Chisholm | Fidelity,"The Quarterly Sector Update, including the Sector Scorecard, is a recurring report that synthesizes equity sector information from three disciplines—fundamentals, relative valuations, and relative strength—to create a comprehensive view of the current state of each sector.   | __________________________________________________________________________ | To see more videos from Fidelity Investments, subscribe to: https://www.youtube.com/fidelityinvestments  |  | Facebook: https://www.facebook.com/fidelityinvestments  | Twitter:  https://www.twitter.com/fidelity  | LinkedIn: https://www.linkedin.com/company/fidelity-investments  |  |  | Fidelity Brokerage Services LLC, Member NYSE, SIPC, 900 Salem Street,  | Smithfield, Rhode Island, 02917 |  | 904212.4.0",https://i.ytimg.com/vi/HV0PC3sxyqU/default.jpg,,00:03:38,218,3486,42,1,0,0,43,0.012335055,191
F9sdTo_KnLs,https://www.youtube.com/watch?v=F9sdTo_KnLs,Nomura,https://www.youtube.com/channel/UC34CVg2p8fZ-gYySyRgJsSg,22,People & Blogs,Why the West is obsessed with Japan's famous blossom,"Every Spring, Japan is awash with cherry blossoms, or sakura – a symbol of hope for the year ahead. Through sakura, there has been a strong connection between the East and West since the 1600s with the exotic blooms now abundant in English gardens.",https://i.ytimg.com/vi/F9sdTo_KnLs/default.jpg,,00:03:37,217,149,0,0,0,0,0,0.0,192
5DcFj9ygd-g,https://www.youtube.com/watch?v=5DcFj9ygd-g,FranklinTempletonTV,https://www.youtube.com/channel/UC5TMcPB-LGCybX-h0JtWnOQ,27,Education,Investing in Companies Focused on Digital Transformation,"Recorded on March 5, 2019 |  | Franklin Equity Group’s Jonathan Curtis highlights the opportunities of digital transformation and outlines some of the key themes he sees in the technology space. |  | All investments involve risks, including possible loss of principal.  | ***To receive further videos and blog posts from Franklin Templeton, subscribe to one of our channels below*** | - Subscribe to our blog, Beyond Bulls & Bears at http://us.beyondbullsandbears.com | - Follow us on Twitter at http://twitter.com/FTI_US | - Follow us on Facebook at http://www.facebook.com/FranklinTempleton | Copyright © 2019. Franklin Templeton Investments. All rights reserved.",https://i.ytimg.com/vi/5DcFj9ygd-g/default.jpg,"Franklin Templeton,Jonathan Curtis,Investing,Stock Market",00:03:21,201,595,9,0,0,0,9,0.01512605,205
2FTm-BMc-T4,https://www.youtube.com/watch?v=2FTm-BMc-T4,Schroders,https://www.youtube.com/channel/UCPGDAxQL05T8C29a621ySbw,25,News & Politics,What's the latest views on credit markets?,"Throughout the economic cycle, returns across and within different segments of the credit universe can diverge significantly. Investors with the flexibility to shift their asset allocation and security selection over time can exploit this phenomenon, take full advantage of the diversity of credit markets, and to enhance portfolios returns while mitigating drawdowns. By watching this video, you confirm that you are a Hong Kong resident.",https://i.ytimg.com/vi/2FTm-BMc-T4/maxresdefault.jpg,,00:03:17,197,108,0,0,0,0,0,0.0,208
IW8zHyoyIEk,https://www.youtube.com/watch?v=IW8zHyoyIEk,Nomura,https://www.youtube.com/channel/UC34CVg2p8fZ-gYySyRgJsSg,19,Travel & Events,Asia outlook 2019: always darkest before the dawn,"An economic recovery in H2 2019 will be Emerging Asia’s time to shine, a defining moment when it starts to be widely appreciated as the undisputed locomotive of the world economy.",https://i.ytimg.com/vi/IW8zHyoyIEk/default.jpg,"Asia,Outlook,2019,Economics,Emerging markets",00:03:13,193,479,0,0,0,0,0,0.0,210
ON0GkbEeWmc,https://www.youtube.com/watch?v=ON0GkbEeWmc,Schroders,https://www.youtube.com/channel/UCPGDAxQL05T8C29a621ySbw,25,News & Politics,Outlook 2021 - Time for investors to stop hibernating,"Johanna Kyrklund, Chief Investment Officer, and Keith Wade, Chief Economist, explain why the outlook for 2021 should be an optimistic one for investors. |  | #Outlook2021 #economicviews #marketviews",https://i.ytimg.com/vi/ON0GkbEeWmc/maxresdefault.jpg,,00:03:12,192,198,3,0,0,0,3,0.015151515,211
i0Fn5hkDxmM,https://www.youtube.com/watch?v=i0Fn5hkDxmM,Schroders,https://www.youtube.com/channel/UCPGDAxQL05T8C29a621ySbw,25,News & Politics,How we can create a more inclusive workplace,"Why is inclusivity important? As part of #Inclusion Month, we hear from our people on how we are continuing to create a more inclusive workplace here at Schroders.  |  | #inclusion #schroders",https://i.ytimg.com/vi/i0Fn5hkDxmM/maxresdefault.jpg,,00:03:12,192,381,3,0,0,0,3,0.007874016,212
